City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,coahuayana de hidalgo,18.7,-103.6583,30.99,64,5,1.84,MX,1699827222
1,bredasdorp,-34.5322,20.0403,13.52,84,1,0.39,ZA,1699827222
2,waitangi,-43.9535,-176.5597,12.5,84,56,8.34,NZ,1699827222
3,santa luzia,-19.7697,-43.8514,32.5,41,46,2.05,BR,1699827223
4,fale old settlement,-9.3852,-171.2468,28.76,72,59,0.7,TK,1699827223
5,bonthe,7.5264,-12.505,26.54,84,69,2.68,SL,1699827223
6,nemuro,43.3236,145.575,4.3,54,65,4.99,JP,1699826630
7,puerto natales,-51.7236,-72.4875,9.53,69,89,3.5,CL,1699827021
8,papatowai,-46.5619,169.4708,12.7,91,100,1.22,NZ,1699827223
9,port mathurin,-19.6833,63.4167,24.88,82,0,2.62,MU,1699827223
10,troitsk,54.0979,61.5773,3.44,80,69,1.81,RU,1699827224
11,college,64.8569,-147.8028,-7.03,87,100,1.54,US,1699826997
12,richards bay,-28.783,32.0377,19.4,82,100,3.99,ZA,1699827224
13,blackmans bay,-43.0167,147.3167,14.85,52,8,1.34,AU,1699827224
14,tank,32.2217,70.3793,19.5,45,9,0.24,PK,1699827224
15,bethel,41.3712,-73.414,4.31,61,0,1.54,US,1699827224
16,saipan,15.1355,145.701,29.39,79,75,6.69,MP,1699827224
17,minas de marcona,-15.2119,-75.1103,15.68,85,85,6.77,PE,1699827225
18,tiksi,71.6872,128.8694,-15.83,89,100,6.84,RU,1699827225
19,adamstown,-25.066,-130.1015,22.83,83,100,8.46,PN,1699827225
20,turan,16.0678,108.2208,26.99,89,75,1.03,VN,1699827225
21,tazovsky,67.4667,78.7,-5.84,94,100,6.23,RU,1699826636
22,port-aux-francais,-49.35,70.2167,5.49,89,100,8.02,TF,1699827225
23,haiku-pauwela,20.9219,-156.3051,28.01,59,20,11.32,US,1699827226
24,badger,64.8,-147.5333,-7.07,88,100,1.54,US,1699827226
25,hawaiian paradise park,19.5933,-154.9731,25.73,86,100,4.12,US,1699827226
26,port elizabeth,-33.918,25.5701,15.17,78,0,2.06,ZA,1699827226
27,grytviken,-54.2811,-36.5092,3.52,87,100,1.82,GS,1699827226
28,toliara,-23.35,43.6667,22.93,79,0,1.51,MG,1699827227
29,ubari,26.5921,12.7805,19.46,27,0,2.82,LY,1699827227
30,west island,-12.1568,96.8225,25.99,89,75,4.12,CC,1699827227
31,atafu village,-8.5421,-172.5159,28.84,70,84,0.44,TK,1699827227
32,taoudenni,22.6783,-3.9836,27.76,15,0,6.11,ML,1699826649
33,jamestown,42.097,-79.2353,5.57,57,0,3.09,US,1699827216
34,kailua-kona,19.6406,-155.9956,29.04,74,40,4.63,US,1699827085
35,stanley,54.868,-1.6985,6.51,96,75,3.6,GB,1699827228
36,talnakh,69.4865,88.3972,-2.66,96,100,4.47,RU,1699827228
37,pasni,25.2631,63.471,25.42,41,98,4.04,PK,1699827229
38,beyneu,45.3167,55.2,6.35,59,10,7.24,KZ,1699827230
39,nishon tumani,38.694,65.6751,8.14,61,0,3.09,UZ,1699827230
40,butha-buthe,-28.8333,28.5,8.81,42,3,1.18,LS,1699827230
41,sechura,-5.5569,-80.8222,25.15,61,12,9.1,PE,1699826641
42,gimcheon,36.1218,128.1198,-0.38,64,0,1.54,KR,1699827230
43,papao,-17.75,-149.55,29.82,79,44,0.68,PF,1699826653
44,qamdo,31.1667,97.2333,-9.25,49,1,1.64,CN,1699826640
45,ancud,-41.8697,-73.8203,9.36,58,31,4.45,CL,1699826650
46,xiulin,29.7167,112.4,7.06,73,100,3.77,CN,1699827231
47,ust-nera,64.5667,143.2,-25.61,99,100,1.08,RU,1699827231
48,poronaysk,49.2167,143.1167,-9.89,89,55,2.56,RU,1699827231
49,businga,3.3333,20.8833,21.71,99,63,1.06,CD,1699827232
50,nyurba,63.2842,118.3319,-23.44,100,94,1.11,RU,1699827232
51,puerto baquerizo moreno,-0.9,-89.6,26.55,74,75,4.12,EC,1699826650
52,edinburgh of the seven seas,-37.0676,-12.3116,14.08,82,7,9.23,SH,1699827232
53,ushuaia,-54.8,-68.3,10.81,46,40,6.17,AR,1699827111
54,invercargill,-46.4,168.35,11.68,95,100,2.68,NZ,1699827233
55,puerto leguizamo,-0.1934,-74.7819,26.23,95,65,1.19,CO,1699827233
56,puerto penasco,31.3167,-113.5333,25.51,49,0,2.68,MX,1699827233
57,yellowknife,62.456,-114.3525,-6.99,98,100,9.26,CA,1699827233
58,onega,63.9061,38.1404,-3.56,79,27,5.75,RU,1699826667
59,isafjordur,66.0755,-23.124,1.98,82,100,1.75,IS,1699827233
60,zhaqsy,51.9083,67.3133,3.06,92,100,3.74,KZ,1699827234
61,dudinka,69.4058,86.1778,-0.74,98,100,7.6,RU,1699826652
62,iqaluit,63.7506,-68.5145,-17.95,70,20,6.17,CA,1699827234
63,thompson,55.7435,-97.8558,-0.91,93,100,1.03,CA,1699827234
64,isangel,-19.55,169.2667,23.67,68,100,8.82,VU,1699827235
65,esbjerg,55.4667,8.45,3.39,95,75,1.03,DK,1699827235
66,qaqortoq,60.7167,-46.0333,-7.25,86,6,0.08,GL,1699827235
67,wailua homesteads,22.0669,-159.378,28.24,78,75,8.23,US,1699827235
68,longyearbyen,78.2186,15.6401,-3.09,93,75,4.63,SJ,1699827235
69,georgetown,5.4112,100.3354,27.23,89,20,0.0,MY,1699826988
70,nuuk,64.1835,-51.7216,-5.66,73,91,1.03,GL,1699826660
71,camalu,30.85,-116.0667,21.77,37,0,2.86,MX,1699827236
72,lompoc,34.6391,-120.4579,28.77,24,0,3.6,US,1699826947
73,kiunga,-6.1219,141.2906,24.94,82,39,1.38,PG,1699827236
74,bovalino,38.149,16.174,20.75,77,25,4.35,IT,1699827236
75,albany,42.6001,-73.9662,2.41,64,6,0.77,US,1699827021
76,garachico,28.7781,-17.7646,21.94,68,100,3.6,ES,1699827237
77,eyl,7.9803,49.8164,27.07,79,88,7.61,SO,1699827237
78,inari,68.906,27.0288,-20.89,100,100,1.64,FI,1699827237
79,iskateley,67.6803,53.1512,-8.32,94,28,2.68,RU,1699827237
80,saldanha,-33.0117,17.9442,15.03,85,0,9.15,ZA,1699827237
81,vorkuta,67.5,64.0,-10.16,95,40,4.59,RU,1699827237
82,tartagal,-22.5164,-63.8013,37.14,31,47,2.35,AR,1699827237
83,cabo san lucas,22.8909,-109.9124,30.9,59,20,4.63,MX,1699826693
84,rosarito,32.3333,-117.0333,27.73,32,1,1.25,MX,1699827025
85,la'ie,21.6477,-157.9253,30.98,73,25,3.58,US,1699827238
86,nova sintra,14.8667,-24.7167,23.62,70,28,4.91,CV,1699826695
87,kavaratti,10.5669,72.642,27.64,76,80,2.6,IN,1699827238
88,egilsstadir,65.2653,-14.3948,-2.05,86,75,4.63,IS,1699827239
89,kodinar,20.7903,70.7031,25.06,33,97,3.75,IN,1699827239
90,lagos,6.5833,3.75,26.2,90,46,2.0,NG,1699826985
91,labytnangi,66.6572,66.4183,-12.22,90,9,3.9,RU,1699826504
92,bilibino,68.0546,166.4372,-12.83,95,100,2.08,RU,1699827239
93,kodiak,57.79,-152.4072,3.73,60,0,3.09,US,1699827239
94,alaghsas,17.0187,8.0168,24.81,14,0,5.73,NE,1699827239
95,aasiaat,68.7098,-52.8699,-14.72,85,74,2.31,GL,1699827240
96,tlaltenango de sanchez roman,21.7833,-103.3167,22.13,63,80,3.35,MX,1699826950
97,hermanus,-34.4187,19.2345,14.92,82,1,3.7,ZA,1699827240
98,cruzeiro do sul,-29.5128,-51.9853,21.95,93,97,3.27,BR,1699827240
99,aioun,16.6614,-9.6149,29.92,15,7,4.77,MR,1699826671
100,ghanzi,-21.5667,21.7833,28.26,27,41,4.22,BW,1699827240
101,klaksvik,62.2266,-6.589,6.51,72,99,9.59,FO,1699827240
102,port augusta,-32.5,137.7667,20.14,32,99,4.08,AU,1699827241
103,marco island,25.9363,-81.7157,30.58,70,40,1.54,US,1699827241
104,sinabang,2.4803,96.3801,25.87,85,100,1.83,ID,1699826670
105,cestos city,5.46,-9.5828,26.69,85,93,3.86,LR,1699827241
106,khorugh,37.4897,71.553,0.73,53,1,0.39,TJ,1699827241
107,yeppoon,-23.1333,150.7333,23.88,53,3,4.48,AU,1699827242
108,ilulissat,69.2167,-51.1,-9.99,57,75,2.06,GL,1699827242
109,smithers,54.7804,-127.1743,-0.82,93,100,2.06,CA,1699827242
110,brush,40.2589,-103.6238,18.57,12,0,2.57,US,1699827242
111,vila franca do campo,37.7167,-25.4333,20.23,94,100,7.03,PT,1699826679
112,qarqaraly,49.4058,75.4742,-0.33,90,85,4.73,KZ,1699827243
113,honjo,36.2333,139.1833,8.71,59,71,2.17,JP,1699827243
114,avarua,-21.2078,-159.775,23.03,60,98,4.12,CK,1699827243
115,alofi,-19.0595,-169.9187,24.3,81,99,9.57,NU,1699827243
116,vavatenina,-17.4667,49.2,21.8,87,100,0.12,MG,1699827243
117,vorgashor,67.5833,63.95,-10.53,96,49,4.63,RU,1699827244
118,oum hadjer,13.2954,19.6966,29.13,21,87,3.93,TD,1699827244
119,milledgeville,33.0801,-83.2321,14.13,84,100,2.06,US,1699827200
120,saacow,1.6279,42.4407,25.49,85,83,2.94,SO,1699827244
121,leek,53.1625,6.3764,6.99,94,96,1.03,NL,1699827244
122,chapeco,-27.0964,-52.6183,25.47,76,48,1.5,BR,1699827245
123,grand-lahou,5.1367,-5.0242,26.07,89,41,3.46,CI,1699827245
124,jwaneng,-24.6004,24.7303,25.09,24,21,2.43,BW,1699827245
125,lebu,-37.6167,-73.65,10.5,62,2,8.35,CL,1699827245
126,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,75,12.52,RU,1699827245
127,selfoss,63.9331,-20.9971,3.36,67,100,6.99,IS,1699827246
128,ayacucho,-13.1583,-74.2239,21.05,50,66,2.83,PE,1699826946
129,jaisalmer,26.9147,70.9181,21.54,32,53,3.27,IN,1699827246
130,hamilton,39.1834,-84.5333,13.69,46,0,2.57,US,1699827031
131,khuzdar,27.7384,66.6434,14.94,24,67,2.18,PK,1699827246
132,margaret river,-33.95,115.0667,14.6,86,100,6.22,AU,1699827247
133,ribeira grande,38.5167,-28.7,18.21,87,100,1.79,PT,1699827247
134,port alfred,-33.5906,26.891,14.54,90,16,1.34,ZA,1699827247
135,dhidhdhoo,6.8833,73.1,27.81,75,91,3.53,MV,1699827247
136,vadso,70.0744,29.7487,-3.91,86,20,6.17,NO,1699827248
137,amga,60.8953,131.9608,-14.31,92,100,3.61,RU,1699827248
138,sitka,57.0531,-135.33,6.94,70,0,2.06,US,1699827248
139,leticia,-4.2153,-69.9406,28.99,100,20,1.54,CO,1699826957
140,olonkinbyen,70.9221,-8.7187,-3.13,67,97,1.74,SJ,1699827248
141,hatillo,18.4863,-66.8254,29.49,83,5,4.02,PR,1699827249
142,tamborine mountain,-27.9695,153.1994,21.16,67,11,2.08,AU,1699827249
143,shahba,32.8551,36.629,19.38,39,97,2.65,SY,1699827249
144,argo,37.6333,22.7333,16.66,71,55,1.31,GR,1699827250
145,vilyuchinsk,52.9306,158.4028,-2.26,77,43,3.22,RU,1699827250
146,kiama,-34.6833,150.8667,17.47,75,98,4.3,AU,1699827250
147,puerto ayora,-0.7393,-90.3518,27.98,89,49,1.79,EC,1699827250
148,touros,-5.1989,-35.4608,25.65,76,0,6.07,BR,1699827142
149,eraan,9.0629,117.7016,25.58,84,16,1.52,PH,1699827250
150,hastings,50.8552,0.5729,12.1,91,97,5.22,GB,1699827251
151,plettenberg bay,-34.0527,23.3716,13.41,77,0,2.4,ZA,1699827251
152,newman,37.3138,-121.0208,24.57,23,78,2.77,US,1699827251
153,savelugu,9.6244,-0.8253,30.84,33,26,0.55,GH,1699827251
154,walvis bay,-22.9575,14.5053,15.22,84,8,2.33,NA,1699827252
155,colonia,50.9333,6.95,6.65,87,75,2.06,DE,1699826670
156,along,28.1667,94.7667,12.96,62,0,0.75,IN,1699827253
157,hadibu,12.65,54.0333,26.88,81,75,5.59,YE,1699826663
158,leoben,47.3461,15.1257,0.95,78,100,1.23,AT,1699827253
159,punta arenas,-53.15,-70.9167,8.23,70,97,9.01,CL,1699827134
160,malpica,43.3228,-8.8105,20.09,76,95,8.54,ES,1699827254
161,murun-kuren,49.6342,100.1625,-9.58,52,13,1.6,MN,1699827254
162,tsiombe,-25.3,45.4833,21.88,68,0,1.74,MG,1699827254
163,freetown,8.484,-13.2299,27.84,83,40,3.09,SL,1699827254
164,changyon,38.2508,125.0961,1.29,65,6,6.19,KP,1699826679
165,muroto-misakicho,33.2833,134.15,12.27,61,2,10.03,JP,1699827255
166,prince george,53.9166,-122.753,1.46,84,100,0.89,CA,1699827077
167,missoula,47.0166,-113.8009,7.22,51,98,1.71,US,1699827195
168,khromtau,50.2503,58.4347,2.04,87,55,3.43,KZ,1699827256
169,anadyr,64.75,177.4833,-0.72,80,40,7.0,RU,1699827256
170,hami,42.8,93.45,2.55,31,100,0.43,CN,1699826691
171,acapulco de juarez,16.8634,-99.8901,30.9,70,0,5.66,MX,1699826645
172,kerikeri,-35.2268,173.9474,18.25,54,0,1.93,NZ,1699827004
173,udachny,66.4167,112.4,-13.64,84,100,2.89,RU,1699827257
174,sonqor,34.7837,47.6004,10.31,41,100,0.88,IR,1699827257
175,mosfellsbaer,64.1667,-21.7,3.73,60,0,5.66,IS,1699827257
176,suva,-18.1416,178.4415,24.71,94,75,5.66,FJ,1699827258
177,nema,57.5067,50.5011,0.29,98,100,6.02,RU,1699827258
178,keflavik,64.0049,-22.5624,3.95,70,0,8.75,IS,1699827258
179,mikhaylov,54.2292,39.0186,6.65,91,100,8.21,RU,1699827258
180,malvan,16.0667,73.4667,26.8,73,100,1.74,IN,1699827258
181,holualoa,19.6228,-155.9522,26.97,74,40,4.63,US,1699827259
182,hazorasp,41.3194,61.0742,2.91,45,36,4.25,UZ,1699827259
183,redcliff,-19.0333,29.7833,21.35,25,13,3.22,ZW,1699827259
184,arraial do cabo,-22.9661,-42.0278,26.92,78,0,0.51,BR,1699827259
185,kourou,5.1552,-52.6478,26.68,85,70,3.82,GF,1699827259
186,linxia chengguanzhen,35.6003,103.2064,-1.37,76,1,0.66,CN,1699827260
187,novoishimskiy,53.1981,66.7694,2.95,92,63,1.93,KZ,1699827260
188,sao joao da barra,-21.6403,-41.0511,29.05,88,42,4.58,BR,1699826634
189,taranagar,28.6709,75.0351,19.5,45,14,2.42,IN,1699827260
190,doctor mora,21.1417,-100.3125,15.28,77,87,3.97,MX,1699827261
191,malango,-2.9627,119.9001,18.86,96,92,1.14,ID,1699827261
192,tocopilla,-22.092,-70.1979,20.6,68,21,6.19,CL,1699827261
193,enewetak,11.3474,162.3373,27.63,83,100,9.78,MH,1699827261
194,escarcega,18.6089,-90.7454,31.2,52,78,0.98,MX,1699827262
195,al burayqah,30.4062,19.5739,22.18,74,0,4.63,LY,1699827262
196,pangai,-19.8,-174.35,24.06,88,100,9.26,TO,1699827262
197,kapuskasing,49.4169,-82.4331,1.05,93,100,6.69,CA,1699827170
198,bardai,11.65,7.2333,23.2,24,2,3.01,NG,1699827262
199,trapani,37.8333,12.6667,20.05,78,20,8.75,IT,1699827263
200,kristiansund,63.1115,7.732,1.36,75,0,2.06,NO,1699827263
201,horta,38.5333,-28.6333,17.79,87,99,1.79,PT,1699827263
202,whitehorse,60.7161,-135.0538,-2.57,86,75,4.12,CA,1699827263
203,kununurra,-15.7667,128.7333,26.99,94,100,2.06,AU,1699827264
204,mhamid,29.82,-5.72,22.71,27,13,2.63,MA,1699827264
205,katsuura,35.1333,140.3,9.01,84,55,9.12,JP,1699827264
206,chibougamau,49.9168,-74.3659,-5.21,93,100,1.54,CA,1699827264
207,hammerfest,70.6634,23.6821,-5.75,58,0,1.54,NO,1699826669
208,lihue,21.9789,-159.3672,28.58,72,75,8.23,US,1699827265
209,santa elena,-2.2333,-80.85,24.75,83,100,4.12,EC,1699827265
210,neryungri,56.6709,124.6491,-12.25,89,95,5.2,RU,1699827265
211,gadzhiyevo,69.2551,33.3362,-8.8,97,92,4.03,RU,1699827266
212,tughyl,47.7252,84.2063,4.58,81,100,7.07,KZ,1699827266
213,la ronge,55.1001,-105.2842,3.14,65,20,5.14,CA,1699827266
214,tralee,52.2704,-9.7026,10.18,97,97,2.65,IE,1699827266
215,new norfolk,-42.7826,147.0587,15.51,53,15,3.3,AU,1699827266
216,torghay,49.6339,63.4981,4.24,90,22,2.64,KZ,1699827267
217,kangaba,11.9333,-8.4167,26.93,24,100,1.93,ML,1699827267
218,carnarvon,-24.8667,113.6333,20.33,85,16,2.55,AU,1699827267
219,kingston,17.997,-76.7936,31.53,71,20,8.23,JM,1699827267
220,visakhapatnam,17.69,83.2093,23.44,78,75,2.8,IN,1699827267
221,port lincoln,-34.7333,135.8667,14.9,73,88,5.49,AU,1699827267
222,mawlaik,23.6333,94.4167,18.97,90,1,0.59,MM,1699827268
223,beau vallon,-20.4189,57.6953,22.34,94,20,3.6,MU,1699826674
224,kismayo,-0.3582,42.5454,26.69,83,66,3.01,SO,1699827268
225,coquimbo,-29.9533,-71.3436,16.32,64,0,5.92,CL,1699827268
226,marsh harbour,26.5412,-77.0636,25.99,63,90,3.54,BS,1699827268
227,westport,41.1415,-73.3579,5.53,62,0,2.06,US,1699827268
228,princeville,45.7668,-61.2985,3.62,86,100,3.6,CA,1699827269
229,dapa,9.7594,126.0531,27.54,80,20,2.13,PH,1699827269
230,san patricio,28.017,-97.5169,16.97,95,100,5.41,US,1699827269
231,buta,2.7858,24.73,21.08,99,55,0.86,CD,1699827269
232,bairnsdale,-37.8333,147.6167,15.59,64,93,1.34,AU,1699827269
233,alice springs,-23.7,133.8833,25.75,53,48,3.6,AU,1699827239
234,hirara,24.8,125.2833,22.78,70,99,12.84,JP,1699827270
235,sur,22.5667,59.5289,25.31,56,100,0.72,OM,1699827270
236,la sarre,48.8002,-79.1996,-3.53,92,45,3.21,CA,1699826978
237,ciro marina,39.3732,17.126,18.37,77,41,4.14,IT,1699827270
238,pangody,65.85,74.4859,-8.94,93,79,5.12,RU,1699827270
239,charters towers,-20.1,146.2667,23.3,58,0,3.88,AU,1699826681
240,paita,-5.0892,-81.1144,21.83,76,18,8.52,PE,1699827271
241,barra de santo antonio,-9.4047,-35.5072,24.6,72,1,3.43,BR,1699826687
242,oranjemund,-28.55,16.4333,14.89,83,1,8.78,NA,1699826688
243,tukrah,32.5341,20.5791,20.55,75,51,1.69,LY,1699827271
244,novodvinsk,64.4165,40.8122,-3.45,93,26,3.78,RU,1699827271
245,filey,54.21,-0.2892,7.82,92,100,4.02,GB,1699827272
246,barysaw,54.2312,28.5049,6.16,90,100,6.81,BY,1699827272
247,abohar,30.15,74.1833,17.12,46,0,1.17,IN,1699827272
248,rurrenabaque,-14.4413,-67.5278,36.8,33,36,3.28,BO,1699827272
249,luau,-10.7073,22.2247,18.48,97,98,1.19,AO,1699827273
250,howard springs,-12.497,131.047,27.68,81,91,1.1,AU,1699827273
251,dok kham tai,19.1624,99.9934,21.26,97,91,0.28,TH,1699827273
252,santo domingo,18.5001,-69.9886,28.82,83,40,2.57,DO,1699826801
253,basco,20.4487,121.9702,26.25,79,85,12.82,PH,1699827273
254,brazzaville,-4.2658,15.2832,22.43,97,100,0.23,CG,1699827273
255,kuqa,41.7278,82.9364,4.17,62,8,0.76,CN,1699827274
256,makurdi,7.7411,8.5121,26.8,78,55,2.58,NG,1699827274
257,tejen,37.3834,60.5054,12.75,39,0,6.12,TM,1699827274
258,orchard homes,46.8633,-114.0484,12.08,53,0,4.63,US,1699827274
259,port saint john's,-31.6229,29.5448,17.98,68,67,4.1,ZA,1699827274
260,santa ana,33.7456,-117.8678,31.82,27,20,5.14,US,1699827274
261,bam,29.106,58.357,18.5,33,83,1.68,IR,1699827275
262,neka,36.6508,53.299,17.43,52,92,2.04,IR,1699827275
263,vilyuysk,63.7553,121.6247,-22.11,100,49,2.04,RU,1699827276
264,miandrivazo,-19.5167,45.4667,25.8,76,100,0.79,MG,1699827276
265,pacific grove,36.6177,-121.9166,22.42,68,0,6.69,US,1699827276
266,passos,-20.7189,-46.6097,28.62,27,52,1.63,BR,1699826984
267,linqiong,30.4159,103.4609,9.68,85,100,1.33,CN,1699827277
268,mazara del vallo,37.6641,12.588,20.97,76,15,9.36,IT,1699827277
269,galesong,-5.3166,119.3661,24.01,65,85,1.49,ID,1699827277
270,santiago de cuba,20.0247,-75.8219,27.06,89,75,2.06,CU,1699827277
271,tofol,5.3248,163.0078,27.88,78,100,3.09,FM,1699827277
272,naze,28.3667,129.4833,16.51,68,73,8.54,JP,1699827278
273,mount isa,-20.7333,139.5,26.87,61,3,2.06,AU,1699827278
274,karema,-6.8205,30.4389,23.79,79,97,2.86,TZ,1699827278
275,pudozh,61.8099,36.5345,2.75,98,100,2.68,RU,1699827278
276,utrik,11.2278,169.8474,28.07,81,100,7.82,MH,1699827278
277,poyang,28.9924,116.6675,7.94,71,98,6.18,CN,1699827279
278,tahe,52.3333,124.7333,-8.29,55,67,2.12,CN,1699827279
279,maputo,-25.9653,32.5892,19.82,83,75,6.69,MZ,1699827237
280,teguise,29.0605,-13.564,19.12,88,0,1.03,ES,1699827279
281,gizo,-8.103,156.8419,27.73,75,91,5.22,SB,1699827279
282,jardim,-21.4803,-56.1381,36.72,25,44,2.41,BR,1699827280
283,nar'yan-mar,67.6713,53.087,-8.27,94,27,2.68,RU,1699827280
284,mahina,-17.5065,-149.489,29.87,70,75,5.14,PF,1699827018
285,fort bragg,35.139,-79.006,15.08,57,0,2.57,US,1699827280
